SL.NO,Sub_Assy_part_No,REV_NO,Child_Part_No,Part_Name,801033002,Quantity,801033007,801033001S,801033006S,801032566,801032563,801032568,801032569,801032562,801032539,801032537,801032531,801032529,801032525,801032519,801032510,801033008,801032573,801032595,801032608,801032511,801032589,801032614S,801032612S,801032598,801032618,801032603,801023089,801032597,801032627S,801032638,801032625,801032619,801032601,801032652S,801032651S,801032656S,801032662,801032658S,801032665,801032697S,801032605S,801032632S,801032694,801212223,801032719S,"801032787S - WIRED RACK , 93E 500KVA Busbar Panel, O/S","801032641S - WIR RACK,93E 200KVA MBS INT O/P TRX- O/S","801032630S - WIRED RACK, 93E 160KVA MBS Int Trx-O/S","801033052S - WR, 93E 160KVA MBS, I/P Int Trx, K13, O/","801033054S - WIR RCK,93E100kVA MBS INT TRX Cu,K13,O/S","801033056S - WR ,93E 160KVA MBS,I/P Trx,W/t Trx MBS","801033057S - WR 93E, 80 kVA, MBS, IT42 TRX MBS Datson","801033059S - WR,93E 160KVA MBS,I/P Trx,W/t Trx MBS OS",Surface_Finish,Material,Qty_In_Drawing,Thickness,Width,Length,Blank_Wt,Powder_Coating_Area,Powder_Usage_in_Kgs,Assembly/Sub_part,commodity,Source,Wire_Rack/Non_Wire Rack_Parts,Revion_No,Revision_Details,Tapping,No.Of_Bends,Clinching /Riveting,Welding,METAL_STAMP ,POWDER_COATING,,,,,,,
0,0,0,SE-BSO 3.5M3-12,Stand Off M3X12 ,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,15,,,0,MS,15,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
58,373-53888,3,0,FRONT COVER (UP),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,#N/A,0,,,,,,,1,,,0,SGCC,1,1.50,276.00,543.00,1.76,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,0,0,0,4,0,0,Y,0,0,0,0,,,,
59,373-53889,2,0,REAR COVER(DOWN),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,#N/A,0,,,,,,,1,,,0,SGCC,1,1.50,215.50,542.60,1.38,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,0,0,Y,1,0,0,Y,0,0,0,0,,,,
60,801221426,B,0,"SMP, REAR COVER TOP 200KVA
373-55825",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,#N/A,0,,,,,,,1,,,0,SGCC,1,1.50,542.60,1348.50,8.62,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,0,373-53891-PART NO CHANGED FOR OILCAP,Y,9,0,0,Y,0,0,0,0,,,,
61,373-53892,5,0,SUPPORT PLATE(STS),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,1.50,396.50,505.00,2.36,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,5,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-BSO 3.5M3-18,Stand Off M3X17.5 -18,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,,,9,9,9,,9,,9,0,MS,9,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-FH M4-10,Stud  M4X10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,,,7,7,7,,7,,7,0,MS,7,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-FH M4-15,Stud  M4X15,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,,,4,4,4,,4,,4,0,MS,4,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
62,801221231,A,0,SUPPORT PLATE (CONTACTOR OP),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,1.50,540.00,605.60,3.85,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,part no changed from 373-53893 (holes removed),Y,9,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-FH M5-20,Stud  M5X20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0,0,,,20,20,20,,20,,20,0,MS,20,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-FH M6-8,Stud  M6X8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,,,6,6,6,,6,,6,0,0,6,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-S M4-1,Clinch Nut M4-1.0mm(Zinc Blue Platting),0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,,,14,14,14,,14,,14,0,0,14,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
63,373-53894,2,0,REAR COVER(MID),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,#N/A,0,,,,,,,1,,,0,SGCC,1,1.50,322.50,542.60,2.06,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,0,0,0,0,0,0,Y,0,0,0,0,,,,
64,373-53895,3,0,SUPPORT PLATE(BYPASS),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.00,162.00,883.60,2.25,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,10,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-BSO 3.5M3-22,Stand Off M3X22,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,7,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
65,373-53896,8,0,SUPPORT PLATE(MINISOLT) 1342L EATON,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,1.50,447.40,414.00,2.18,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,373-53896-PART NO CHANGED FOR OILCAP,Y,18,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-BSO 3.5M3-10,Stand Off M3X10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,,,8,8,8,,8,,8,0,MS,8,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-FH M4-10,Stud  M4X10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,1,1,1,,1,,1,0,MS,1,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
66,801221350,0,0,SUPPORT PLAT(AC-FILTER),0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,2,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0,0,0,2,2,#N/A,0,,,,,,,2,,,0,SGCC,1,1.50,355.00,571.60,2.39,0.00,0.00,Assembly,Sheet Metal,ACE,Non Wire Rack Parts,0,373-55824-PART NO CHANGED-(BENDING POSSITION CHANGED),0,4,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-BSO 3.5M3-12,Stand Off M3X12 ,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,30,,,0,MS,15,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
67,373-53899,3,0,FRONT COVER(DOWN),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,#N/A,0,,,,,,,1,,,0,SGCC,1,1.50,543.00,521.00,3.33,0.00,0.00,Assembly,Sheet Metal,ACE,Non Wire Rack Parts,0,0,0,2,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-FH M4-8,Stud  M4X8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,4,,,0,MS,4,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
68,373-53900,2,0,FIXTURE PLATE(SPS),0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,2,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0,0,0,2,2,#N/A,0,,,,,,,2,,,0,SGCC,1,1.20,214.00,506.40,1.02,0.00,0.00,Assembly,Sheet Metal,ACE,Non Wire Rack Parts,0,0,0,4,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-BSO 3.5M3-12,Stand Off M3X12 ,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,14,,,0,MS,7,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
69,373-54922,1,0,SLIDE FIXED PLATE(RIGHT-1),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,1.50,292.00,702.00,2.41,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,373-53901-PART NO CHANGED FOR OIL CAP,Y,8,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-BSO 3.5M3-8,Stand Off M3X8 ,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,15,15,15,,15,,15,0,MS,15,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
70,373-53902,3,0,FIXTURE PLATE(MINI SLOT),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,1.20,198.10,214.00,0.40,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,4,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-BSO 3.5M3-12,Stand Off M3X12 ,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,,4,4,4,,4,,4,0,MS,4,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
71,373-53903,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,1.50,673.10,855.70,6.78,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,30,Y,0,Y,0,0,0,0,,,,
0,0,0,373-53903-Part2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,,,3,3,3,,3,,3,0,SGCC,3,1.20,26.40,303.60,0.08,0.00,0.00,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,3,N,0,0,0,0,0,0,,,,
0,0,0,373-53903-Part3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,1,1,1,,1,,1,0,SGCC,1,1.20,26.40,303.60,0.08,0.00,0.00,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,4,N,0,0,0,0,0,0,,,,
0,0,0,373-53903-Part5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,1,1,1,,1,,1,0,H32-5052,1,2.00,106.00,307.00,0.18,0.00,0.00,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,0,N,0,0,0,0,0,0,,,,
0,0,0,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,,,16,16,16,,16,,16,0,MS,16,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,,,21,21,21,,21,,21,0,SS,21,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
72,373-53904,2,0,FIXTURE PLATE(REAR DOWN),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,#N/A,0,,,,,,,1,,,0,SGCC,1,1.50,146.00,500.00,0.86,0.00,0.00,Assembly,Sheet Metal,ACE,Non Wire Rack Parts,0,0,0,0,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-S M4-1,Clinch Nut M4-1.0mm(Zinc Blue Platting),0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,4,,,0,MS,4,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
73,373-53906,2,0,BREAKER FIXED PLATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.00,312.00,309.60,1.52,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,7,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-SS M5-2,Clinch Nut M5-1.5/2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,4,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-FH M5-25,Stud  M5X25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,4,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
74,373-53907,4,0,SLIDE FIXED PLATE(RIGHT-2),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,2.00,61.00,700.00,0.67,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,4,0,0,Y,0,0,0,0,,,,
75,373-54913,0,0,SUPPORT PLATE (CON)  1372L EATON,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,255.00,787.50,2.36,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,REV CHANGED (373-54913 instead of 373-53908),Y,10,Y,0,Y,0,0,0,0,,,,
76,373-53909,0,0,SUPPORT PLATE INDUCTOR1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,2,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0,0,2,2,2,#N/A,0,,,2,2,2,,2,,2,0,SGCC,1,1.50,194.00,520.50,1.19,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,11,0,0,Y,0,0,0,0,,,,
77,373-53910,0,0,support plate inductor 3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,2,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0,0,2,2,2,#N/A,0,,,2,2,2,,2,,2,0,SGCC,1,1.50,214.50,520.50,1.31,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,10,0,0,Y,0,0,0,0,,,,
78,373-53911,4,0,SLIDE FIXED PLATE(LEFT-2),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,2.00,61.00,700.00,0.67,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,4,0,0,Y,0,0,0,0,,,,
79,373-53912,5,0,BOTTOM PLATE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.00,744.60,900.00,10.52,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,22,Y,Y,Y,0,0,0,0,,,,
0,0,0,373-53912-Part2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SGCC,2,2.00,113.00,743.10,1.32,0.00,0.00,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,3,N,0,0,0,0,0,0,,,,
0,0,0,SE-S M8-1,Clinch Nut M8-1.5/2.0mm(Zinc Blue Platting),0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,8,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,M12-Weldnut,Weld  Nut M12-2mm(Zinc Blue Platting),0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,4,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,Glore,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-BSO 3.5M3-12,Stand Off M3X12 ,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,4,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-FH M6-10,Stud  M6X10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,3,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SS,30,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
80,373-53913,3,0,FIXTURE PLATE (INDUCTOR),0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,4,0,4,0,0,0,0,4,0,4,0,4,4,0,0,4,0,0,0,0,0,0,4,4,0,0,4,4,4,#N/A,0,,,4,4,4,,4,,4,0,SGCC,1,1.50,154.00,375.00,0.68,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,8,Y,0,Y,0,0,0,0,,,,
0,0,0,373-53913-Part4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,,,2,8,8,,8,,2,0,H32-5052,2,2.00,106.00,298.00,0.17,0.00,0.00,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,0,N,0,0,0,0,0,0,,,,
0,0,0,373-53913-Part5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,,,2,8,8,,8,,2,0,H32-5052,2,2.00,106.00,306.00,0.18,0.00,0.00,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,0,N,0,0,0,0,0,0,,,,
0,0,0,SE-SS M5-2,Clinch Nut M5-1.5/2.0mm(Zinc Blue Platting),0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,,,8,32,32,,32,,8,0,MS,8,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,,,6,24,24,,24,,6,0,SS,6,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
81,373-54114,2,0,MAIN FRAME (BAT-CB),4,0,8,4,0,0,4,4,8,0,4,4,0,4,8,8,4,8,4,0,0,0,8,4,8,4,8,8,4,4,8,0,0,0,0,0,0,8,8,4,0,0,8,8,#N/A,0,,,,,,,8,4,,0,SGCC,1,1.50,838.00,588.00,5.80,0.00,0.00,Assembly,Sheet Metal,ACE,Non Wire Rack Parts,Added on 01.12.2014 MBS BOM,0,Y,28,Y,Y,Y,0,0,0,0,,,,
0,0,0,SE-BSO M4-16,Stand Off M4X16 ,20,0,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,40,20,,0,MS,5,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-FH M4-8,Stud  M4X8,16,0,32,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,32,16,,0,MS,4,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
