SL.NO,Sub_Assy_part_No,REV_NO,Child_Part_No,Part_Name,801033002,Quantity,801033007,801033001S,801033006S,801032566,801032563,801032568,801032569,801032562,801032539,801032537,801032531,801032529,801032525,801032519,801032510,801033008,801032573,801032595,801032608,801032511,801032589,801032614S,801032612S,801032598,801032618,801032603,801023089,801032597,801032627S,801032638,801032625,801032619,801032601,801032652S,801032651S,801032656S,801032662,801032658S,801032665,801032697S,801032605S,801032632S,801032694,801212223,801032719S,"801032787S - WIRED RACK , 93E 500KVA Busbar Panel, O/S","801032641S - WIR RACK,93E 200KVA MBS INT O/P TRX- O/S","801032630S - WIRED RACK, 93E 160KVA MBS Int Trx-O/S","801033052S - WR, 93E 160KVA MBS, I/P Int Trx, K13, O/","801033054S - WIR RCK,93E100kVA MBS INT TRX Cu,K13,O/S","801033056S - WR ,93E 160KVA MBS,I/P Trx,W/t Trx MBS","801033057S - WR 93E, 80 kVA, MBS, IT42 TRX MBS Datson","801033059S - WR,93E 160KVA MBS,I/P Trx,W/t Trx MBS OS",Surface_Finish,Material,Qty_In_Drawing,Thickness,Width,Length,Blank_Wt,Powder_Coating_Area,Powder_Usage_in_Kgs,Assembly/Sub_part,commodity,Source,Wire_Rack/Non_Wire Rack_Parts,Revion_No,Revision_Details,Tapping,No.Of_Bends,Clinching /Riveting,Welding,METAL_STAMP ,POWDER_COATING,,,,,,,
,,,SE-SS M5-1,Clinch Nut M5-1. Zinc Blue Platting),5,5,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,5,,5,,,MS,5,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
19,373-53844,0,,SIDE PLATE (LITTLE),2,2,0,2,2,2,2,2,0,2,2,2,2,2,0,0,2,0,2,2,2,2,0,2,0,2,0,0,2,2,0,0,0,0,2,0,0,0,0,2,2,,0,0,#N/A,0,,,,,,2,,2,,,SGCC,1,1.00,47.80,651.00,0.24,,,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,,,Y,2,,,Y,,,,,,,,
20,373-53845-Part1,2,,BOTTOM PLATE,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,#N/A,0,,,,,,,,,,,SGCC,1,2.00,660.60,906.00,9.40,,,Assembly,Sheet Metal,ACE,Wire Rack Parts,,,Y,18,Y,Y,Y,,,,,,,,
,,,373-53845-Part2,,2,2,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,SGCC,2,2.00,113.00,743.20,1.32,,,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,,,N,3,N,,,,,,,,,,
,,,SE-SS M5-2,Clinch Nut M5-1.5/2.0mm(Zinc Blue Platting),4,4,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,MS,4,2.00,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
,,,M12-Weldnut,Weld  Nut M12-2mm(Zinc Blue Platting),4,4,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,MS,4,2.00,,,,,,Sub Parts,Fastener,Glore,Wire Rack Parts,,,,,,,,,,,,,,,
,,,SE-S M8-1,Clinch Nut M8-1.5/2.0mm(Zinc Blue Platting),8,8,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,MS,8,2.00,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
,,,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,30,30,0,30,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,MS,30,2.00,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
21,373-53846,4,,SUPPORT PLATE (STS),1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,,0,0,#N/A,0,,,,,,1,,1,,,SGCC,1,1.50,569.60,498.00,3.34,,,Assembly,Sheet Metal,ACE,Wire Rack Parts,,,Y,4,Y,,Y,,,,,,,,
,,,SE-S M6-1,Clinch Nut M6-1.5mm(Zinc Blue Platting),8,8,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,8,,8,,,MS,8,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
,,,SE-BSO M4-14,Stand Off M4X14 ,9,9,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,9,,9,,,MS,9,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
,,,SE-FH M4-10,Stud  M4X10,6,6,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,6,,6,,,MS,6,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
22,373-53847,3,,SUPPORT PLATE (CONTACTOR),1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,1,,1,,,SGCC,1,1.50,282.00,842.60,2.80,,,Assembly,Sheet Metal,ACE,Wire Rack Parts,,,Y,7,Y,,Y,,,,,,,,
